merge sort, quick sort
1062574, 1312536
1059418, 1582431
1067194, 1328502
1077346, 1441245
1065400, 1392941
1064278, 1289878
1066934, 1324713
1064609, 1336659
1065781, 1499792
1062554, 1224536
1061963, 1316465
1064419, 1445505
1060840, 1469266
1065280, 1364388
1061852, 1294207
1062925, 1329924
1080924, 1279906
1064178, 1438499
1066413, 1375794
1065300, 1311825
1067054, 1315533
1066953, 1343985
1065190, 1495643
1063777, 1481312
1066353, 1439461
1065641, 1410519
1064849, 1355620
1062695, 1384503
1063316, 1395346
1063165, 1383009
1063106, 1501696
1060340, 1394002
1060761, 1395806
1065981, 1493499
1064268, 1257006
1062534, 1348244
1065531, 1375433
1058606, 1390976
1067254, 1336198
1063235, 1358677
1063877, 1390385
1063266, 1350559
1063316, 1504904
1062193, 1251244
1066663, 1610322
1061713, 1459184
1064398, 1555313
1064158, 1374160
1062915, 1361312
1062214, 1311364
1064328, 1326446
1060499, 1403564
1059207, 1491454
1063958, 1454514
1061867, 1343372
1066640, 1390813
1062401, 1337178
1064044, 1431480
1061229, 1384610
1063915, 1360377
1064225, 1260635
1060496, 1326927
1058233, 1410535
1065066, 1431170
1059314, 1373045
1058943, 1452115
1113410, 1458227
1062711, 1485596
1062321, 1236143
1060126, 1446743
1064666, 1319962
1062943, 1312816
1060376, 1452545
1064756, 1320393
1060337, 1384700
1059475, 1301483
1062350, 1511692
1060777, 1455391
1066730, 1308367
1061359, 1233567
1060647, 1345065
1063353, 1315222
1065467, 1319200
1058743, 1346448
1060006, 1468319
1064736, 1457726
1063073, 1356088
1063142, 1545053
1061940, 1232745
1061890, 1331928
1064586, 1354716
1062371, 1313268
1065548, 1448255
1059374, 1352010
1063093, 1371291
1062561, 1503925
1060807, 1580869
1060768, 1359736
1063223, 1361109
1069556, 1587584
1065247, 1305611
1062191, 1363444
1062331, 1496118
1060737, 1304729
1062853, 1358473
1061099, 1433294
1065608, 1337128
1061740, 1322718
1064666, 1475685
1061650, 1385201
1064145, 1418301
1061840, 1303316
1061469, 1316735
1058112, 1325894
1063934, 1326666
1066409, 1392327
1058723, 1300530
1062020, 1397778
1062221, 1294757
1064365, 1338802
1065076, 1323209
1061920, 1279465
1064806, 1343782
1063915, 1300740
1064605, 1263140
1062932, 1232575
1065658, 1256245
1062922, 1338892
1062952, 1344033
1061719, 1272821
1066109, 1481978
1066550, 1317005
1061479, 1288444
1060678, 1371451
1066771, 1424394
1063925, 1260865
1064686, 1306673
1061760, 1368446
1064747, 1387075
1063213, 1283533
1064446, 1493542
1064044, 1351449
1065658, 1480244
1060186, 1359336
1067722, 1434076
1062601, 1277691
1061740, 1364276
1063403, 1324341
1067121, 1277230
1066781, 1475324
1063153, 1273592
1061109, 1334803
1065187, 1313628
1058783, 1298256
1058503, 1557950
1062100, 1297854
1061139, 1383457
1061549, 1401636
1059795, 1291441
1065488, 1361039
1059776, 1364878
1061108, 1540593
1065307, 1223606
1067291, 1462206
1062492, 1356569
1062862, 1391755
1062250, 1202260
1061510, 1484744
1064034, 1465964
1060557, 1385452
1065788, 1302895
1059314, 1399051
1061940, 1195144
1064265, 1372093
1060778, 1519929
1061870, 1371191
1061168, 1343693
1066891, 1279204
1059445, 1337269
1061369, 1310532
1064124, 1312656
1062832, 1351389
1064806, 1333731
1058152, 1349635
1063504, 1534670
1064025, 1357952
1061880, 1363394
1061339, 1485245
1063173, 1366812
1066439, 1376102
1059344, 1288805
1067191, 1504186
1068564, 1452765
1092194, 1372334
1065798, 1436210
1063393, 1532777
1063293, 1485997
1057681, 1218104
1060877, 1439006
1063353, 1552218
1062221, 1592013
1066740, 1308427
1062111, 1455051
1062271, 1247817
1065528, 1369457
1070688, 1406497
1061830, 1517413
1061439, 1338511
1063122, 1294367
1066300, 1380811
1064375, 1313337
1065758, 1377565
1062963, 1299227
1063533, 1366712
1061028, 1567331
1063614, 1340957
1060076, 1300520
1068484, 1348202
1063383, 1428825
1062932, 1382696
1067552, 1416609
1061860, 1326004
1064656, 1384740
1063133, 1582112
1063503, 1398059
1063233, 1804137
1059946, 1201658
1064696, 1390442
1063854, 1372404
1062141, 1375380
1060587, 1566759
1063533, 1365539
1059154, 1355518
1062131, 1459610
1068514, 1564415
1060456, 1540213
1063914, 1516973
1067813, 1307365
1065577, 1405605
1063834, 1356990
1064235, 1378937
1063363, 1392497
1060568, 1292844
1068103, 1353042
1065067, 1281008
1062952, 1329492
1066470, 1345726
1064155, 1471596
1062421, 1385963
1059716, 1425418
1064635, 1348242
1069666, 1312456
1061259, 1383266
1061689, 1258360
1072021, 1320072
1061820, 1342690
1085630, 1311643
1061860, 1303777
1066039, 1334141
1063143, 1535632
1063043, 1175192
1064626, 1205146
1062983, 1299949
1062992, 1339273
1064335, 1433084
1065378, 1361149
1065437, 1312135
1063343, 1343472
1067351, 1432322
1062431, 1498403
1069476, 1506420
1066219, 1509687
1065528, 1311824
1157915, 1514608
1060637, 1441111
1069336, 1454680
1134986, 1463458
1064636, 1415436
1065287, 1391064
1063434, 1390813
1065307, 1359245
1060507, 1326516
1066250, 1284425
1063273, 1487850
1068254, 1361831
1067943, 1491769
1066409, 1223135
1066681, 1430868
1064836, 1550755
1064505, 1383939
1060567, 1355066
1064415, 1218895
1063233, 1374769
1064555, 1518737
1061880, 1326586
1067092, 1255845
1062872, 1420848
1064546, 1248208
1062131, 1390993
1066721, 1310130
1065417, 1367553
1066740, 1379719
1071200, 1476646
1066139, 1386484
1062511, 1378867
1064486, 1358524
1064055, 1272260
1063383, 1305250
